id_bigger,id_smaller,num_modif_sites,diff_formula,weight_bigger,weight_smaller,difference,adduct,msmassanalyzer
CCMSLIB00000848631,CCMSLIB00000848630,1,C2H2O1,1141.51,1099.5,42.00999999999999,[M+H]1+,qtof
CCMSLIB00000846161,CCMSLIB00000848634,1,C9H6O3,517.134,355.102,162.03200000000004,[M+H]1+,qtof
CCMSLIB00000847509,CCMSLIB00000848634,1,C9H6O3,517.134,355.102,162.03200000000004,[M+H]1+,qtof
CCMSLIB00000847734,CCMSLIB00000848634,1,C1H2,369.118,355.102,14.01600000000002,[M+H]1+,qtof
CCMSLIB00000847783,CCMSLIB00000848634,1,C9H6O3,517.134,355.102,162.03200000000004,[M+H]1+,qtof
CCMSLIB00000848797,CCMSLIB00000848634,1,C10H8O3,531.149,355.102,176.04700000000003,[M+H]1+,qtof
CCMSLIB00000849003,CCMSLIB00000848634,1,C9H6O3,517.134,355.102,162.03200000000004,[M+H]1+,qtof
CCMSLIB00000853669,CCMSLIB00000848634,1,C1H2,369.118,355.102,14.01600000000002,[M+H]1+,qtof
CCMSLIB00005721779,CCMSLIB00000848634,1,C9H6O3,517.136,355.102,162.034,[M+H]1+,qtof
CCMSLIB00000847032,CCMSLIB00000848637,1,O1,463.087,447.092,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000847898,CCMSLIB00000848637,1,C1H2O1,477.102,447.092,30.00999999999999,[M+H]1+,qtof
CCMSLIB00000848529,CCMSLIB00000848640,1,O1,497.311,481.316,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000848845,CCMSLIB00000848640,1,C1H2,495.331,481.316,14.015000000000043,[M+H]1+,qtof
CCMSLIB00000846143,CCMSLIB00000848648,1,O1,393.133,377.138,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000845063,CCMSLIB00000848653,1,O1,319.045,303.05,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000846075,CCMSLIB00000848653,1,C1H2,317.065,303.05,14.014999999999986,[M+H]1+,qtof
CCMSLIB00000847004,CCMSLIB00000848653,1,C5H8O4,435.092,303.05,132.04199999999997,[M+H]1+,qtof
CCMSLIB00000847904,CCMSLIB00000848653,1,C5H8O4,435.092,303.05,132.04199999999997,[M+H]1+,qtof
CCMSLIB00000848751,CCMSLIB00000848653,1,C6H10O4,449.108,303.05,146.058,[M+H]1+,qtof
CCMSLIB00000849090,CCMSLIB00000848653,1,C1H2,317.065,303.05,14.014999999999986,[M+H]1+,qtof
CCMSLIB00000847624,CCMSLIB00000848654,1,H-1Cl1,387.157,353.196,33.960999999999956,[M+H]1+,qtof
CCMSLIB00000845056,CCMSLIB00000848655,1,O1,449.108,433.113,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000845060,CCMSLIB00000848655,1,C6H10O5,595.165,433.113,162.05199999999996,[M+H]1+,qtof
CCMSLIB00000845425,CCMSLIB00000848655,1,C6H10O5,595.165,433.113,162.05199999999996,[M+H]1+,qtof
CCMSLIB00000846155,CCMSLIB00000848655,1,C6H10O5,595.165,433.113,162.05199999999996,[M+H]1+,qtof
CCMSLIB00000847842,CCMSLIB00000848655,1,O1,449.108,433.113,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000848318,CCMSLIB00000848655,1,C7H4O5,601.119,433.113,168.00600000000003,[M+H]1+,qtof
CCMSLIB00000848751,CCMSLIB00000848655,1,O1,449.108,433.113,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000848930,CCMSLIB00000848655,1,C5H8O5,581.15,433.113,148.03699999999998,[M+H]1+,qtof
CCMSLIB00000849017,CCMSLIB00000848655,1,C6H10O4,579.171,433.113,146.05800000000005,[M+H]1+,qtof
CCMSLIB00000849018,CCMSLIB00000848655,1,C9H6O3,595.144,433.113,162.031,[M+H]1+,qtof
CCMSLIB00005721451,CCMSLIB00000848655,1,C7H4O5,601.119,433.113,168.00600000000003,[M+H]1+,qtof
CCMSLIB00000847186,CCMSLIB00000848668,1,C6H10O5,919.271,757.218,162.053,[M+H]1+,qtof
CCMSLIB00005721656,CCMSLIB00000848668,1,C6H10O5,919.27,757.218,162.05200000000002,[M+H]1+,qtof
CCMSLIB00000846563,CCMSLIB00000848686,1,C1H2,795.437,781.421,14.015999999999963,[M+H]1+,qtof
CCMSLIB00000848353,CCMSLIB00000848693,1,C6H10O4,451.123,305.065,146.058,[M+H]1+,qtof
CCMSLIB00000848383,CCMSLIB00000848693,1,C1H2,319.081,305.065,14.01600000000002,[M+H]1+,qtof
CCMSLIB00000848804,CCMSLIB00000848693,1,C1H2,319.081,305.065,14.01600000000002,[M+H]1+,qtof
CCMSLIB00000847616,CCMSLIB00000848698,1,O1,559.123,543.128,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000847925,CCMSLIB00000848698,1,O1,559.123,543.128,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000847160,CCMSLIB00000848699,1,C1H2,609.181,595.165,14.016000000000076,[M+H]1+,qtof
CCMSLIB00000848367,CCMSLIB00000848728,1,C1H2O1,371.097,341.086,30.010999999999967,[M+H]1+,qtof
CCMSLIB00000845303,CCMSLIB00000848751,1,O1,465.102,449.108,15.993999999999971,[M+H]1+,qtof
CCMSLIB00000845637,CCMSLIB00000848751,1,C7H4O4,601.119,449.108,152.01100000000002,[M+H]1+,qtof
CCMSLIB00000846043,CCMSLIB00000848751,1,C3H2O4,551.103,449.108,101.99499999999995,[M+H]1+,qtof
